,time_step,outcome_type,outcome,stimulus,stage,exp_outcome,go_Q_lick,go_Q_nolick,nogo_Q_lick,nogo_Q_nolick,go_Q_lick_ql,go_Q_nolick_ql,nogo_Q_lick_ql,nogo_Q_nolick_ql,alpha,Q_PE,go_P_lick,go_P_nolick,go_P_lick_ql,go_P_nolick_ql,nogo_P_lick,nogo_P_nolick,nogo_P_lick_ql,nogo_P_nolick_ql,motivation
157,[923105],C1S6,1,1,uncertain,1,0.7649945024937004,0.04916813621607954,0.02561882103178313,0.03909721406838265,1.7439312696438134,0.6949761006005201,0.0036800000000000027,0.9997087006659622,0.04822475468587995,0.24691280705534568,0.7586554582070624,0.2413445417929377,0.8426830396533416,0.15731696034665849,0.49460885172116137,0.5053911482788386,0.1688715595284269,0.8311284404715732,1.0
158,[938313],C1S6,1,1,uncertain,1,0.775108007005436,0.04916813621607954,0.02561882103178313,0.03909721406838265,1.759538142679432,0.6949761006005201,0.0036800000000000027,0.9997087006659622,0.043035182661905945,0.23500549750629962,0.7616058545240535,0.23839414547594662,0.8459651471247766,0.15403485287522342,0.49460885172116137,0.5053911482788386,0.1688715595284269,0.8311284404715732,1.0
159,[949319],C1S9,3,0,uncertain,2,0.7839495523148527,0.04916813621607954,0.02561882103178313,0.03909721406838265,1.773584328411489,0.6949761006005201,0.0036800000000000027,0.9997087006659622,0.039314629176817405,0.22489199299456397,0.7641648088412467,0.2358351911587532,0.8488709627876937,0.1511290372123062,0.49460885172116137,0.5053911482788386,0.1688715595284269,0.8311284404715732,0.0
160,[958093],C1S6,1,1,uncertain,1,0.7839495523148527,0.04916813621607954,0.02561882103178313,0.0391064890694419,1.773584328411489,0.6949761006005201,0.0036800000000000027,0.9997378305993659,0.00015229190122210926,0.22489199299456397,0.7641648088412467,0.2358351911587532,0.8488709627876937,0.1511290372123062,0.49460514215235146,0.5053948578476486,0.16886501802716256,0.8311349819728375,1.0
161,[966916],C1S13,5,1,uncertain,1,0.791846586012086,0.04916813621607954,0.02561882103178313,0.0391064890694419,1.78622589557034,0.6949761006005201,0.0036800000000000027,0.9997378305993659,0.03655180436719928,0.21605044768514725,0.7664342905664793,0.23356570943352084,0.8514475329832125,0.14855246701678748,0.49460514215235146,0.5053948578476486,0.16886501802716256,0.8311349819728375,1.0
162,[977345],C1S9,3,0,uncertain,2,0.7479545394590742,0.04916813621607954,0.02561882103178313,0.0391064890694419,1.707603306013306,0.6949761006005201,0.0036800000000000027,0.9997378305993659,0.06344187778104472,-0.691846586012086,0.7536283632624343,0.24637163673756574,0.8348231969863918,0.16517680301360804,0.49460514215235146,0.5053948578476486,0.16886501802716256,0.8311349819728375,0.0
163,[987251],C1S6,1,1,uncertain,1,0.7479545394590742,0.04916813621607954,0.02561882103178313,0.03911576124224637,1.707603306013306,0.6949761006005201,0.0036800000000000027,0.9997640475394294,0.00015226865166382368,-0.691846586012086,0.7536283632624343,0.24637163673756574,0.8348231969863918,0.16517680301360804,0.49460143371530557,0.5053985662846945,0.16885913084866067,0.8311408691513393,1.0
164,[1007182],C1S7,2,1,uncertain,2,0.7613602966915741,0.04916813621607954,0.02561882103178313,0.03911576124224637,1.7268429754119754,0.6949761006005201,0.0036800000000000027,0.9997640475394294,0.05318785430108238,0.2520454605409258,0.7575891959950897,0.24241080400491027,0.839024401636604,0.16097559836339606,0.49460143371530557,0.5053985662846945,0.16885913084866067,0.8311408691513393,0.0
165,[1015627],C1S6,1,1,uncertain,1,0.7613602966915741,0.05094535157749934,0.02561882103178313,0.03911576124224637,1.7268429754119754,0.7254784905404681,0.0036800000000000027,0.9997640475394294,0.034962624407684655,0.05083186378392047,0.7570666028419478,0.24293339715805218,0.8323232929265161,0.16767670707348384,0.49460143371530557,0.5053985662846945,0.16885913084866067,0.8311408691513393,1.0
166,[1026509],C1S9,3,0,uncertain,2,0.7697833133606025,0.05094535157749934,0.02561882103178313,0.03911576124224637,1.7441586778707778,0.7254784905404681,0.0036800000000000027,0.9997640475394294,0.035295956843116344,0.23863970330842588,0.7595366225364859,0.24046337746351415,0.8361543363847632,0.16384566361523673,0.49460143371530557,0.5053985662846945,0.16885913084866067,0.8311408691513393,0.0
167,[1036195],C1S7,2,1,uncertain,2,0.7697833133606025,0.05094535157749934,0.02561882103178313,0.039125030589341414,1.7441586778707778,0.7254784905404681,0.0036800000000000027,0.9997876427854865,0.00015224542975604785,0.23863970330842588,0.7595366225364859,0.24046337746351415,0.8361543363847632,0.16384566361523673,0.49459772640900546,0.5054022735909945,0.16885383252784283,0.8311461674721572,0.0
168,[1045596],C1S7,2,1,uncertain,2,0.7697833133606025,0.052128591541615546,0.02561882103178313,0.039125030589341414,1.7441586778707778,0.7529306414864213,0.0036800000000000027,0.9997876427854865,0.024120853011219846,0.049054648422500666,0.7591906801416322,0.24080931985836793,0.8300476292737168,0.16995237072628316,0.49459772640900546,0.5054022735909945,0.16885383252784283,0.8311461674721572,0.0
169,[1054572],C1S9,3,0,uncertain,2,0.7697833133606025,0.05295891137060177,0.02561882103178313,0.039125030589341414,1.7441586778707778,0.7776375773377792,0.0036800000000000027,0.9997876427854865,0.017344796314234974,0.04787140845838446,0.758947717748219,0.24105228225178102,0.8243980591374606,0.17560194086253952,0.49459772640900546,0.5054022735909945,0.16885383252784283,0.8311461674721572,0.0
170,[1065087],C1S9,3,0,uncertain,2,0.7697833133606025,0.05295891137060177,0.02561882103178313,0.03913429711276975,1.7441586778707778,0.7776375773377792,0.0036800000000000027,0.9998088785069379,0.0001522222272642873,0.04787140845838446,0.758947717748219,0.24105228225178102,0.8243980591374606,0.17560194086253952,0.4945940202326341,0.5054059797673659,0.1688490641523711,0.8311509358476289,0.0
171,[1073979],C1S9,3,0,uncertain,2,0.7697833133606025,0.05295891137060177,0.02561882103178313,0.039143560814272206,1.7441586778707778,0.7776375773377792,0.0036800000000000027,0.9998279906562441,0.00015219903924580265,0.04787140845838446,0.758947717748219,0.24105228225178102,0.8243980591374606,0.17560194086253952,0.4945903151854951,0.505409684814505,0.16884477270618997,0.83115522729381,0.0
172,[1084868],C1S9,3,0,uncertain,2,0.7697833133606025,0.05295891137060177,0.02561882103178313,0.039152821695408166,1.7441586778707778,0.7776375773377792,0.0036800000000000027,0.9998451915906197,0.0001521758627332094,0.04787140845838446,0.758947717748219,0.24105228225178102,0.8243980591374606,0.17560194086253952,0.49458661126696457,0.5054133887330354,0.16884091047893854,0.8311590895210614,0.0
173,[1094480],C1S9,3,0,uncertain,2,0.7697833133606025,0.05295891137060177,0.02561882103178313,0.039162079757627824,1.7441586778707778,0.7776375773377792,0.0036800000000000027,0.9998606724315577,0.00015215269594451747,0.04787140845838446,0.758947717748219,0.24105228225178102,0.8243980591374606,0.17560194086253952,0.4945829084764624,0.5054170915235375,0.16883743453460426,0.8311625654653957,0.0
174,[1104742],C1S9,3,0,uncertain,2,0.7697833133606025,0.05295891137060177,0.02561882103178313,0.03917133500231556,1.7441586778707778,0.7776375773377792,0.0036800000000000027,0.999874605188402,0.00015212953780908265,0.04787140845838446,0.758947717748219,0.24105228225178102,0.8243980591374606,0.17560194086253952,0.4945792068134348,0.5054207931865652,0.16883430623345863,0.8311656937665414,0.0
175,[1113694],C1S9,3,0,uncertain,2,0.7697833133606025,0.05295891137060177,0.02561882103178313,0.03918058743081594,1.7441586778707778,0.7776375773377792,0.0036800000000000027,0.9998871446695617,0.00015210638768313402,0.04787140845838446,0.758947717748219,0.24105228225178102,0.8243980591374606,0.17560194086253952,0.49457550627734387,0.5054244937226562,0.1688314908019191,0.8311685091980809,0.0
