,start_time,end_time,choice_type,reward_type,outcome,exp_outcome,Q_CP,Q_CG,Q_PE,epsilon,P_CP,P_CG,P_CP_sf,P_CG_sf,motivation
73,636.209,638.698,1.0,1.0,2,1,0.8229241677936092,0.27298789063243556,0.522055564731763,0.3655421830198773,0.6775596618740763,0.32244033812592365,0.779860468453554,0.22013953154644605,1.0
74,646.672,647.397,1.0,1.0,2,1,0.8385114458371272,0.2762129316726012,0.5393022141689137,0.2723850398863563,0.707154131326845,0.292845868673155,0.7847029578590444,0.21529704214095555,1.0
75,653.562,657.505,2.0,0.0,3,2,0.8526437813853444,0.27970594750327016,0.5548241986623493,0.20252212256628788,0.7303182226562197,0.2696817773437803,0.7888082907044205,0.21119170929557954,-1.0
76,662.065,668.173,2.0,0.0,3,2,0.8607625891858266,0.28357083925923154,0.5853719927520223,0.10580748601613998,0.7597035514378371,0.24029644856216303,0.7904336005686183,0.20956639943138178,-1.0
77,674.347,676.205,2.0,0.0,3,2,0.8626043276251945,0.28400879314846106,0.612865007432728,0.056166717025052604,0.7746252152290612,0.22537478477093878,0.7909679285344198,0.2090320714655803,-1.0
78,680.954,682.587,2.0,1.0,4,2,0.8592420960082645,0.2793458068390883,0.6376087206453631,0.031061921840009332,0.7824087702064566,0.21759122979354348,0.791462144560104,0.20853785543989603,-1.0
79,689.842,691.562,1.0,1.0,2,1,0.8554940116100246,0.27290036451896477,0.5598780625367348,0.18288062754292833,0.7389945464073804,0.26100545359261956,0.7924842495028918,0.2075157504971083,1.0
80,698.175,701.829,2.0,0.0,3,2,0.8484322695172822,0.2714776143079665,0.5738478485808268,0.1363201238860613,0.7507636267459299,0.24923637325407008,0.7903432552744214,0.20965674472557863,-1.0
81,717.339,720.852,1.0,0.0,1,1,0.8414059905435227,0.2701926269809273,0.6038902562830613,0.06931520218200493,0.7681738387252133,0.23182616127478672,0.7881467918611661,0.2118532081388339,1.0
82,727.044,734.683,1.0,1.0,2,1,0.8360767050336553,0.26960770514878474,0.5164630637227441,0.39853414402767207,0.6722111414159184,0.3277888585840817,0.7863190648412158,0.2136809351587842,1.0
83,740.875,742.042,1.0,1.0,2,1,0.8339397902980981,0.270285151422477,0.5377785904184587,0.27999936463372455,0.7053653791903043,0.2946346208096957,0.7852294416182449,0.21477055838175516,1.0
